Participant,Item,time,T,D,NP,ND,Away,SentenceType,HeadNoun
1,O1,1.76,1,0,0,0,0,0.5,-0.5
1,O1,1.8,1,0,0,0,0,0.5,-0.5
1,O1,1.84,1,0,0,0,0,0.5,-0.5
1,O1,1.88,1,0,0,0,0,0.5,-0.5
1,O1,1.92,1,0,0,0,0,0.5,-0.5
1,O1,1.96,1,0,0,0,0,0.5,-0.5
1,O1,2,1,0,0,0,0,0.5,-0.5
1,O1,2.04,1,0,0,0,0,0.5,-0.5
1,O1,2.08,1,0,0,0,0,0.5,-0.5
1,O1,2.12,0,0,0,0,1,0.5,-0.5
1,O1,2.16,0,0,0,0,1,0.5,-0.5
1,O1,2.2,0,1,0,0,0,0.5,-0.5
1,O1,2.24,0,1,0,0,0,0.5,-0.5
1,O1,2.28,0,1,0,0,0,0.5,-0.5
1,O1,2.32,0,1,0,0,0,0.5,-0.5
1,O1,2.36,0,1,0,0,0,0.5,-0.5
